INFO  2018-05-13 20:04:01,434 [1    ] InitializeIocContainer                   - IocContainer created ! 
DEBUG 2018-05-13 20:04:01,894 [1    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-13 20:04:08,113 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:09,921 [8    ] UnitOfWorkInterceptor                    - UserService -> GetUserByUsernameAndPassword
DEBUG 2018-05-13 20:04:09,937 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAll
DEBUG 2018-05-13 20:04:10,573 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,581 [5    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> GetGrantedPermissions
DEBUG 2018-05-13 20:04:10,589 [5    ] UnitOfWorkInterceptor                    - UserManager -> GetGrantedPermissions
DEBUG 2018-05-13 20:04:10,665 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,857 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:10,903 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,903 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:10,903 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,903 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:10,903 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,903 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:10,919 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,919 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:10,919 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:10,919 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:12,712 [8    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-13 20:04:12,712 [5    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-13 20:04:12,716 [8    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-13 20:04:12,716 [5    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-13 20:04:12,716 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:12,716 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:12,720 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:12,724 [5    ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-13 20:04:12,724 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-13 20:04:13,120 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:13,144 [8    ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-05-13 20:04:13,144 [8    ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-05-13 20:04:13,968 [7    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-13 20:04:13,968 [7    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-13 20:04:13,968 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:13,972 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:13,976 [7    ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-13 20:04:13,976 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-13 20:04:14,874 [8    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-13 20:04:14,878 [8    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-13 20:04:14,878 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:14,878 [5    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-13 20:04:14,882 [5    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-13 20:04:14,882 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:14,882 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:14,886 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-13 20:04:14,886 [8    ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-05-13 20:04:14,890 [5    ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-13 20:04:14,890 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-13 20:04:14,890 [8    ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-05-13 20:04:19,764 [5    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-13 20:04:19,764 [5    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-13 20:04:19,764 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-13 20:04:19,768 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
